Raw,Filtered,,Filter Type:,Butterworth
994.29,992.26,,Cutoff @:,0.25 Hz
994.72,992.16,,Sample Rate:,25 Hz
997.72,992.05,,,
991.72,991.93,,,
988.3,991.79,,,
986.58,991.64,,,
986.58,991.48,,,
989.58,991.31,,,
993.86,991.12,,,
1001.14,990.92,,,
997.29,990.69,,,
987.01,990.45,,,
994.72,990.19,,,
991.72,989.92,,,
981.02,989.64,,,
984.44,989.34,,,
984.44,989.04,,,
984.01,988.73,,,
990.44,988.41,,,
997.29,988.08,,,
995.57,987.73,,,
985.3,987.37,,,
990.01,987,,,
988.72,986.62,,,
981.02,986.22,,,
980.59,985.83,,,
978.02,985.43,,,
981.87,985.02,,,
984.44,984.61,,,
991.29,984.19,,,
995.15,983.77,,,
980.59,983.33,,,
985.73,982.88,,,
986.15,982.43,,,
978.45,981.98,,,
974.59,981.52,,,
972.88,981.06,,,
975.88,980.61,,,
978.45,980.15,,,
986.15,979.7,,,
990.44,979.23,,,
980.16,978.76,,,
978.88,978.29,,,
981.87,977.81,,,
976.31,977.32,,,
968.17,976.84,,,
969.03,976.36,,,
972.03,975.89,,,
972.45,975.41,,,
978.02,974.94,,,
986.58,974.46,,,
979.3,973.97,,,
970.74,973.48,,,
979.3,972.99,,,
972.03,972.49,,,
962.18,972,,,
968.17,971.5,,,
963.89,971.01,,,
966.89,970.53,,,
972.45,970.04,,,
978.45,969.55,,,
979.73,969.06,,,
965.17,968.56,,,
972.03,968.06,,,
970.74,967.56,,,
960.04,967.06,,,
960.89,966.56,,,
957.04,966.06,,,
962.61,965.57,,,
963.46,965.09,,,
973.74,964.6,,,
973.74,964.11,,,
961.32,963.62,,,
967.32,963.12,,,
965.6,962.62,,,
958.75,962.13,,,
954.04,961.63,,,
954.04,961.13,,,
957.04,960.64,,,
958.32,960.15,,,
965.6,959.66,,,
971.17,959.16,,,
960.04,958.66,,,
958.32,958.15,,,
963.46,957.64,,,
955.33,957.12,,,
947.62,956.6,,,
951.9,956.09,,,
949.76,955.58,,,
951.04,955.07,,,
960.46,954.56,,,
963.46,954.05,,,
959.18,953.54,,,
949.76,953.02,,,
957.04,952.49,,,
952.33,951.97,,,
943.77,951.45,,,
944.19,950.93,,,
944.19,950.42,,,
948.05,949.91,,,
